cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_conceptId,checkParameter_conceptName,checkParameter_unitConceptId,checkParameter_unitConceptName,Notes
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,50,37393449,Plasma total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,1,37393449,Plasma total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,50,37397989,Serum total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,1,37397989,Serum total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,50,44809580,Total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,1,44809580,Total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,10,37392176,Serum creatinine level,8749,micromole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,0.1,37392176,Serum creatinine level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueLow,5,10,37392176,Serum creatinine level,8751,milligram per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,500,37393449,Plasma total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,15,37393449,Plasma total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,500,37397989,Serum total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,15,37397989,Serum total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,500,44809580,Total cholesterol level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,15,44809580,Total cholesterol level,8753,millimole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,200,37392176,Serum creatinine level,8749,micromole per liter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,5,37392176,Serum creatinine level,8840,milligram per deciliter,
OBSERVATION,OBSERVATION_CONCEPT_ID,plausibleValueHigh,5,30,37392176,Serum creatinine level,8751,milligram per liter,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,26662,Testicular hypofunction,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,26935,Disorder of endocrine testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,30969,Testicular hyperfunction,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,73801,Scrotal varices,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,74322,Benign neoplasm of scrotum,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,78193,Orchitis and epididymitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,79758,Primary malignant neoplasm of scrotum,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,141917,Balanitis xerotica obliterans,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,192367,Dysplasia of cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,192676,Cervical intraepithelial neoplasia grade 1,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,192683,Uterovaginal prolapse,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,192854,Intramural leiomyoma of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,192858,Ovarian hyperfunction,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,193254,Disorder of vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,193261,Vaginospasm,,,
