cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_TableName,checkParameter_FieldName,Notes
CARE_SITE,care_site_id,isRequired,0,,,,
CDM_SOURCE,cdm_holder,isRequired,0,,,,
CDM_SOURCE,cdm_release_date,isRequired,0,,,,
CDM_SOURCE,cdm_source_abbreviation,isRequired,0,,,,
CDM_SOURCE,cdm_source_name,isRequired,0,,,,
CDM_SOURCE,cdm_version_concept_id,isRequired,0,,,,
CDM_SOURCE,source_release_date,isRequired,0,,,,
CDM_SOURCE,vocabulary_version,isRequired,0,,,,
COHORT,cohort_definition_id,isRequired,0,,,,
COHORT,cohort_end_date,isRequired,0,,,,
COHORT,cohort_start_date,isRequired,0,,,,
COHORT,subject_id,isRequired,0,,,,
COHORT_DEFINITION,cohort_definition_id,isRequired,0,,,,
COHORT_DEFINITION,cohort_definition_name,isRequired,0,,,,
COHORT_DEFINITION,definition_type_concept_id,isRequired,0,,,,
COHORT_DEFINITION,subject_concept_id,isRequired,0,,,,
CONCEPT,concept_class_id,isRequired,0,,,,
CONCEPT,concept_code,isRequired,0,,,,
CONCEPT,concept_id,isRequired,0,,,,
CONCEPT,concept_name,isRequired,0,,,,
CONCEPT,domain_id,isRequired,0,,,,
CONCEPT,valid_end_date,isRequired,0,,,,
CONCEPT,valid_start_date,isRequired,0,,,,
CONCEPT,vocabulary_id,isRequired,0,,,,
CONCEPT_ANCESTOR,ancestor_concept_id,isRequired,0,,,,
CONCEPT_ANCESTOR,descendant_concept_id,isRequired,0,,,,
CONCEPT_ANCESTOR,max_levels_of_separation,isRequired,0,,,,
CONCEPT_ANCESTOR,min_levels_of_separation,isRequired,0,,,,
CONCEPT_CLASS,concept_class_concept_id,isRequired,0,,,,
CONCEPT_CLASS,concept_class_id,isRequired,0,,,,
CONCEPT_CLASS,concept_class_name,isRequired,0,,,,
CONCEPT_RELATIONSHIP,concept_id_1,isRequired,0,,,,
CONCEPT_RELATIONSHIP,concept_id_2,isRequired,0,,,,
CONCEPT_RELATIONSHIP,relationship_id,isRequired,0,,,,
CONCEPT_RELATIONSHIP,valid_end_date,isRequired,0,,,,
CONCEPT_RELATIONSHIP,valid_start_date,isRequired,0,,,,
CONCEPT_SYNONYM,concept_id,isRequired,0,,,,
CONCEPT_SYNONYM,concept_synonym_name,isRequired,0,,,,
CONCEPT_SYNONYM,language_concept_id,isRequired,0,,,,
CONDITION_ERA,condition_concept_id,isRequired,0,,,,
CONDITION_ERA,condition_era_end_date,isRequired,0,,,,
CONDITION_ERA,condition_era_id,isRequired,0,,,,
CONDITION_ERA,condition_era_start_date,isRequired,0,,,,
CONDITION_ERA,person_id,isRequired,0,,,,
CONDITION_OCCURRENCE,condition_concept_id,isRequired,0,,,,
CONDITION_OCCURRENCE,condition_occurrence_id,isRequired,0,,,,
CONDITION_OCCURRENCE,condition_start_date,isRequired,0,,,,
CONDITION_OCCURRENCE,condition_type_concept_id,isRequired,0,,,,
