cdmTableName,checkName,Threshold,checkParameter,Notes
PERSON,isRequired,,,
OBSERVATION_PERIOD,isRequired,,,
OBSERVATION_PERIOD,measurePersonCompleteness,0,,
VISIT_OCCURRENCE,measurePersonCompleteness,95,,
VISIT_DETAIL,measurePersonCompleteness,100,,
CONDITION_OCCURRENCE,measurePersonCompleteness,95,,
DRUG_EXPOSURE,measurePersonCompleteness,95,,
PROCEDURE_OCCURRENCE,measurePersonCompleteness,95,,
DEVICE_EXPOSURE,measurePersonCompleteness,100,,
MEASUREMENT,measurePersonCompleteness,95,,
OBSERVATION,measurePersonCompleteness,95,,
DEATH,measurePersonCompleteness,100,,
NOTE,measurePersonCompleteness,100,,
SPECIMEN,measurePersonCompleteness,100,,
PAYER_PLAN_PERIOD,measurePersonCompleteness,100,,
DRUG_ERA,measurePersonCompleteness,95,,
DOSE_ERA,measurePersonCompleteness,100,,
CONDITION_ERA,measurePersonCompleteness,95,,
CONDITION_ERA,measureConditionEraCompleteness,0,,
