cdmTableName,cdmFieldName,isRequired,isRequiredThreshold,isRequiredNotes,cdmDatatype,cdmDatatypeThreshold,cdmDatatypeNotes,isPrimaryKey,isPrimaryKeyThreshold,isPrimaryKeyNotes,isForeignKey,isForeignKeyThreshold,isForeignKeyNotes,fkTableName,fkFieldName,fkDomain,fkDomainThreshold,fkDomainNotes,fkClass,fkClassThreshold,fkClassNotes,isStandardValidConcept,isStandardValidConceptThreshold,isStandardValidConceptNotes,measureValueCompleteness,measureValueCompletenessThreshold,measureValueCompletenessNotes,standardConceptRecordCompleteness,standardConceptRecordCompletenessThreshold,standardConceptRecordCompletenessNotes,sourceConceptRecordCompleteness,sourceConceptRecordCompletenessThreshold,sourceConceptRecordCompletenessNotes,sourceValueCompleteness,sourceValueCompletenessThreshold,sourceValueCompletenessNotes,standardConceptFieldName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueLowNotes,plausibleValueHigh,plausibleValueHighThreshold,plausibleValueHighNotes,plausibleTemporalAfter,plausibleTemporalAfterTableName,plausibleTemporalAfterFieldName,plausibleTemporalAfterThreshold,plausibleTemporalAfterNotes,plausibleDuringLife,plausibleDuringLifeThreshold,plausibleDuringLifeNotes,plausibleStartBeforeEnd,plausibleStartBeforeEndFieldName,plausibleStartBeforeEndThreshold,plausibleStartBeforeEndNotes,plausibleAfterBirth,plausibleAfterBirthThreshold,plausibleAfterBirthNotes,plausibleBeforeDeath,plausibleBeforeDeathThreshold,plausibleBeforeDeathNotes,withinVisitDates,withinVisitDatesThreshold,withinVisitDatesNotes
PERSON,person_id,Yes,0,,integer,0,,Yes,0,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,gender_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Gender,0,,,,,Yes,0,,Yes,0,,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,year_of_birth,Yes,0,,integer,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,1850,1,,YEAR(GETDATE())+1,1,,,,,,,,,,,,,,,,,,,,,,
PERSON,month_of_birth,,,,integer,0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,1,1,,12,1,,,,,,,,,,,,,,,,,,,,,,
PERSON,day_of_birth,,,,integer,0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,1,1,,31,1,,,,,,,,,,,,,,,,,,,,,,
PERSON,birth_datetime,,,,datetime,0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,'18500101',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,,,,,,,,,,
PERSON,race_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Race,0,,,,,Yes,0,,Yes,0,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,ethnicity_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Ethnicity,0,,,,,Yes,0,,Yes,0,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,location_id,,,,integer,0,,,,,Yes,0,,LOCATION,LOCATION_ID,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,provider_id,,,,integer,0,,,,,Yes,0,,PROVIDER,PROVIDER_ID,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,care_site_id,,,,integer,0,,,,,Yes,0,,CARE_SITE,CARE_SITE_ID,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,person_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,gender_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,Yes,100,,GENDER_CONCEPT_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,gender_source_concept_id,,,,Integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,,,,Yes,100,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,race_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,Yes,100,,RACE_CONCEPT_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,race_source_concept_id,,,,Integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,,,,Yes,100,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,ethnicity_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,Yes,100,,ETHNICITY_CONCEPT_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,ethnicity_source_concept_id,,,,Integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,,,,Yes,100,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION_PERIOD,observation_period_id,Yes,0,,integer,0,,Yes,0,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION_PERIOD,person_id,Yes,0,,integer,0,,,,,Yes,0,,PERSON,PERSON_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION_PERIOD,observation_period_start_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'19500101',1,,"DATEADD(dd,1,GETDATE())",1,,Yes,PERSON,BIRTH_DATETIME,1,,Yes,1,,Yes,OBSERVATION_PERIOD_END_DATE,0,,Yes,1,,Yes,1,,,,
OBSERVATION_PERIOD,observation_period_end_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'19500101',1,,"DATEADD(dd,1,GETDATE())",1,,Yes,OBSERVATION_PERIOD,OBSERVATION_PERIOD_START_DATE,1,,Yes,1,,,,,,Yes,1,,Yes,1,,,,
OBSERVATION_PERIOD,period_type_concept_id,Yes,0,,Integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Type Concept,0,,,,,Yes,0,,Yes,0,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIT_OCCURRENCE,visit_occurrence_id,Yes,0,,integer,0,,Yes,0,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIT_OCCURRENCE,person_id,Yes,0,,integer,0,,,,,Yes,0,,PERSON,PERSON_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIT_OCCURRENCE,visit_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Visit,0,,,,,Yes,0,,Yes,0,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
