cdmTableName,checkName,Threshold,checkParameter,Notes
PERSON,cdmTable,0,,
OBSERVATION_PERIOD,cdmTable,0,,
VISIT_OCCURRENCE,cdmTable,0,,
VISIT_DETAIL,cdmTable,0,,
CONDITION_OCCURRENCE,cdmTable,0,,
DRUG_EXPOSURE,cdmTable,0,,
PROCEDURE_OCCURRENCE,cdmTable,0,,
DEVICE_EXPOSURE,cdmTable,0,,
MEASUREMENT,cdmTable,0,,
OBSERVATION,cdmTable,0,,
DEATH,cdmTable,0,,
NOTE,cdmTable,0,,
NOTE_NLP,cdmTable,0,,
SPECIMEN,cdmTable,0,,
FACT_RELATIONSHIP,cdmTable,0,,
LOCATION,cdmTable,0,,
CARE_SITE,cdmTable,0,,
PROVIDER,cdmTable,0,,
PAYER_PLAN_PERIOD,cdmTable,0,,
COST,cdmTable,0,,
DRUG_ERA,cdmTable,0,,
DOSE_ERA,cdmTable,0,,
CONDITION_ERA,cdmTable,0,,
EPISODE,cdmTable,0,,
EPISODE_EVENT,cdmTable,0,,
METADATA,cdmTable,0,,
CDM_SOURCE,cdmTable,0,,
CONCEPT,cdmTable,0,,
VOCABULARY,cdmTable,0,,
DOMAIN,cdmTable,0,,
CONCEPT_CLASS,cdmTable,0,,
CONCEPT_RELATIONSHIP,cdmTable,0,,
RELATIONSHIP,cdmTable,0,,
CONCEPT_SYNONYM,cdmTable,0,,
CONCEPT_ANCESTOR,cdmTable,0,,
SOURCE_TO_CONCEPT_MAP,cdmTable,0,,
DRUG_STRENGTH,cdmTable,0,,
COHORT,cdmTable,0,,
COHORT_DEFINITION,cdmTable,0,,
PERSON,isRequired,,,
OBSERVATION_PERIOD,isRequired,,,
OBSERVATION_PERIOD,measurePersonCompleteness,0,,
VISIT_OCCURRENCE,measurePersonCompleteness,95,,
VISIT_DETAIL,measurePersonCompleteness,100,,
CONDITION_OCCURRENCE,measurePersonCompleteness,95,,
DRUG_EXPOSURE,measurePersonCompleteness,95,,
PROCEDURE_OCCURRENCE,measurePersonCompleteness,95,,
DEVICE_EXPOSURE,measurePersonCompleteness,100,,
MEASUREMENT,measurePersonCompleteness,95,,
OBSERVATION,measurePersonCompleteness,95,,
DEATH,measurePersonCompleteness,100,,
NOTE,measurePersonCompleteness,100,,
SPECIMEN,measurePersonCompleteness,100,,
PAYER_PLAN_PERIOD,measurePersonCompleteness,100,,
DRUG_ERA,measurePersonCompleteness,95,,
DOSE_ERA,measurePersonCompleteness,100,,
CONDITION_ERA,measurePersonCompleteness,95,,
CONDITION_ERA,measureConditionEraCompleteness,0,,
OBSERVATION_PERIOD,measureObservationPeriodOverlap,0,,
